type	latitude	longitude	altitude (m)	name
T	-5.296110390	38.598763410	270.8	
T	-5.319855140	36.680351330	1261.4	
T	-3.218454740	37.303444530	1491.5	
T	-4.440998660	35.517571670	1578.4	
T	-4.643254120	35.043697650	1623.0	
T	-9.209242730	34.586165760	1934.8	
T	-9.345063440	33.526216460	1323.7	
T	-4.456893480	37.880207240	686.3	
T	-6.303468240	35.762813320	1168.0	
T	-2.935976650	33.334988630	1185.8	
T	-5.534217170	37.238639180	1393.8	
T	-4.764835830	34.209552980	1193.3	
T	-1.712190430	31.550717610	1531.3	
T	-5.885572341	35.149669124	843.0	
T	-10.522566560	35.261257680	1042.6	
T	-8.100532670	35.773145660	1892.7	
T	-6.318514160	31.238013580	1202.7	
T	-5.025590700	34.689150440	1564.9	
T	-9.279559990	34.346390500	2236.0	
T	-3.358430820	35.672010210	1509.5	
T	-8.569659730	32.048373520	1565.4	
T	-10.472942560	39.777536960	292.4	
T	-9.071810520	32.955058710	1584.9	
T	-4.457114500	38.327641680	1271.1	
T	-3.481437130	36.817180010	1000.9	
T	-2.394125030	30.787803190	1350.2	
T	-4.814300270	35.580618420	1350.4	
T	-9.032644060	33.047432640	1607.3	
T	-8.332034320	34.711034140	1101.1	
T	-9.934632570	38.875252550	249.9	
T	-8.665616860	35.850153570	312.8	
T	-3.725388520	34.096555950	1107.8	
T	-6.870474150	39.373706960	9.1	
T	-4.508275360	34.711006350	1460.9	
T	-1.841790610	31.642003810	1214.2	
T	-2.728100930	33.618106610	1227.1	
T	-7.911055680	39.660314700	17.8	
T	-3.687790500	33.920853240	1110.0	
T	-1.669583090	34.692783460	1536.5	
T	-8.571630380	33.062162770	843.7	
T	-6.761259840	38.865189220	138.5	
T	-9.910889940	39.583605770	153.0	
T	-4.751351310	35.137419470	1448.8	
T	-3.325491340	32.405376880	1226.0	
T	-8.624586210	34.416687900	1068.5	
T	-3.788577680	37.646354340	1022.7	
T	-3.308834480	37.074474720	1033.6	
T	-7.854885620	31.247067440	1700.6	
T	-3.350092000	31.870225330	1222.9	
T	-11.210172060	36.278238480	742.7	
T	-4.118908560	32.384938110	1179.3	
T	-4.138176370	35.871456740	1186.2	
T	-9.153814540	32.517773780	1522.5	
T	-1.696665930	34.285958370	1298.9	
T	-6.725941260	37.328452020	405.6	
T	-4.286914810	33.868180920	1092.4	
T	-8.925657870	36.142046190	291.3	
T	-4.536371880	29.808468580	1503.9	
T	-3.218914560	36.984128280	1332.2	
T	-6.779228840	37.140552800	438.7	
T	-7.024865130	36.442463120	1135.5	
T	-2.638061570	32.925100530	1166.2	
T	-9.352493340	32.922450900	1396.3	
T	-6.486114250	38.998833090	15.5	
T	-3.334933750	35.283087560	1069.2	
T	-10.902111870	39.569074240	295.5	
T	-2.825905260	33.300373380	1205.0	
T	-1.405942700	31.787600870	1338.6	
T	-9.475934860	33.900928700	494.3	
T	-3.402021440	32.409030020	1262.6	
T	-4.142398450	35.873099100	1189.3	
T	-5.885572341	35.149669124	843.0	
T	-7.046261310	30.559987010	781.9	
T	-7.725936910	39.860391440	12.4	
T	-4.542081900	38.227719060	1878.1	
T	-9.587211500	33.871326510	494.0	
T	-3.400701400	36.897879250	1120.0	
T	-3.197623580	36.878561930	1479.5	
T	-10.643521940	39.256008970	566.6	
T	-1.845725520	31.542670820	1530.8	
T	-5.885572341	35.149669124	843.0	
T	-7.440671770	37.574574720	177.9	
T	-9.020852360	34.610880930	1607.8	
T	-9.833926390	35.345472680	1319.9	
T	-2.452401350	32.107809880	1144.5	
T	-8.947364720	33.335435240	1422.9	
T	-3.096417990	33.467785170	1249.8	
T	-3.130319060	37.661289950	1137.5	
T	-10.827307090	35.730336820	765.0	
T	-7.188612600	36.798211620	674.1	
T	-5.850763710	34.960448050	1085.9	
T	-7.465392430	35.832106160	1244.0	
T	-9.543482940	35.104086310	1710.3	
T	-9.712736790	34.484713450	1617.7	
T	-2.096312260	33.069290990	1171.7	
T	-10.490869710	38.898807600	298.8	
T	-4.112482410	32.983897910	1177.6	
T	-6.626641860	36.389224460	1060.9	
T	-2.038473550	33.002930970	1265.3	
T	-2.897670530	30.878730420	1352.0	
T	-1.440763740	31.736563250	1287.0	
T	-2.097900840	33.048023650	1178.6	
T	-3.396947300	36.483474460	1336.6	
T	-5.063624020	32.781194940	1215.2	
T	-5.885572341	35.149669124	843.0	
T	-11.561618980	36.464215890	639.0	
T	-4.602911370	29.876128130	1078.9	
T	-4.467505760	29.764103400	1691.7	
T	-4.882628410	29.817153160	901.9	
T	-5.997802080	36.983762420	1079.2	
T	-5.757467280	34.698509060	1305.6	
T	-1.390311910	34.643956990	1819.6	
T	-7.973601450	36.854770200	283.1	
T	-5.422950940	38.978397400	9.7	
T	-10.658959900	39.733761640	270.6	
T	-11.568576790	36.463785680	606.9	
T	-9.279611610	33.138687600	1642.6	
T	-7.878373620	35.690394860	1621.5	
T	-3.346200560	36.979606080	1126.1	
T	-4.373032170	29.977819500	1367.4	
T	-5.199723050	34.784886870	1478.5	
T	-3.191012850	34.032311840	1303.5	
T	-9.015935830	34.598184160	1572.1	
T	-3.361133930	37.507103820	975.4	
T	-10.247248650	38.701886380	462.3	
T	-3.309423920	37.423917760	1375.8	
T	-8.101043340	35.897911950	1924.7	
T	-4.567984400	34.727211220	1507.7	
T	-3.221607350	37.013306140	1274.8	
T	-8.297826450	38.566225320	180.2	
T	-4.198011790	32.745341210	1206.4	
T	-4.936106550	30.026992210	1072.6	
T	-4.793371630	38.644927140	410.5	
T	-3.416289880	30.744204240	1354.6	
T	-9.158015760	34.516859060	1788.5	
T	-8.109333390	35.439457300	1751.8	
T	-6.657283410	31.997091080	1196.9	
T	-3.188679790	37.072607910	1267.8	
T	-3.493453200	36.850948350	975.9	
T	-4.147328670	37.846277180	1003.4	
T	-3.064329970	37.072027020	1539.3	
T	-8.367105440	31.717779190	1788.9	
T	-3.408320130	36.485321860	1309.0	
T	-6.786535640	37.142802370	441.2	
T	-10.257132280	39.430098050	129.7	
T	-3.085412240	34.174208220	1361.3	
T	-2.678656900	31.338144910	1400.9	
T	-3.392005620	36.527725050	1360.7	
T	-5.278286080	38.765540010	260.5	
T	-3.332455580	33.114378540	1176.0	
T	-3.033058490	37.605054910	1527.3	
T	-4.965920550	34.864808040	1632.0	
T	-9.355310250	32.913179000	1416.3	
T	-4.736007780	39.068351560	105.1	
T	-10.633112770	35.447860070	1043.2	
T	-6.123500140	38.303772400	351.8	
T	-5.472728020	36.106659310	1249.3	
T	-3.244169440	37.619707600	1363.8	
T	-3.747896630	37.595241120	919.5	
T	-9.558384170	33.817560730	515.9	
T	-10.665629050	38.655115280	428.7	
T	-4.148118940	35.326591880	1837.4	
T	-9.088143750	36.002058550	303.8	
T	-3.475413270	34.280311290	1214.6	
T	-4.910434100	38.455787540	1279.9	
T	-7.346733190	39.018696820	147.8	
T	-4.513351940	30.036981930	1700.0	
T	-8.423991700	36.474967200	266.8	
T	-7.916685700	35.981998600	1647.5	
T	-10.624466360	35.593087970	1076.8	
T	-9.436343730	33.901004330	503.8	
T	-1.802680830	33.902606860	1342.5	
T	-5.105028700	38.742495240	782.8	
T	-6.098357820	35.972093630	1051.5	
T	-6.976542790	30.574079850	789.7	
T	-6.125792460	35.835014580	1066.9	
T	-8.260130870	35.934964050	1929.1	
T	-4.238505820	33.402488880	1254.8	
T	-3.446131180	33.982301770	1202.6	
T	-9.126468080	34.758981380	1844.7	
T	-4.709048400	35.998873430	1252.2	
T	-9.990985270	38.967199780	333.5	
T	-6.137613240	37.618717770	373.5	
T	-5.885572341	35.149669124	843.0	
T	-2.972252760	30.751356630	1423.1	
T	-6.326096670	37.179741820	703.0	
T	-5.887829090	35.989175430	1104.8	
T	-3.120035940	33.283470860	1174.8	
T	-9.816964920	34.491622930	1772.2	
T	-9.086163200	36.010470500	319.7	
T	-1.436659620	31.172945020	1215.2	
T	-7.927560700	35.066783030	1047.7	
T	-3.257555350	36.961337770	1314.9	
T	-10.709619040	35.804371350	917.1	
T	-4.814540090	33.741248060	1080.1	
T	-8.951729700	34.921020610	1637.3	
T	-4.227445960	35.426020460	2087.2	
T	-1.551843240	31.469375080	1180.3	
T	-8.767995930	34.368773510	1118.3	
T	-3.341466910	36.967970760	1327.0	
T	-3.392307940	31.659155170	1138.4	
T	-5.064962620	32.267329510	1152.0	
T	-4.541904710	34.901790530	1601.0	
T	-4.776235670	29.671894120	962.4	
T	-7.951231830	35.382369700	1745.2	
T	-3.613915620	33.605456660	1185.0	
T	-7.467819880	35.812176950	1291.5	
T	-10.656321180	38.803675020	366.3	
T	-6.179919000	38.238567580	331.2	
T	-1.425655200	31.206753460	1199.7	
T	-8.840716400	34.154527970	1083.8	
T	-9.656551200	34.815906230	1779.4	
T	-10.189374660	39.537477870	89.7	
T	-9.314422020	34.656360760	2077.8	
T	-9.496997750	33.934936100	490.0	
T	-4.413383960	37.910378450	1342.3	
T	-6.364574520	36.663083670	969.9	
T	-1.882926830	33.700311530	1255.5	
T	-4.838189410	32.524095520	1169.8	
T	-1.788651220	34.761301850	1606.5	
T	-3.387722380	35.499705530	1576.5	
T	-9.058591720	34.668765560	1696.1	
T	-10.267036630	36.218719890	816.7	
T	-3.454457660	33.518130220	1178.9	
T	-8.986582910	32.788276570	1470.3	
T	-4.661818400	38.291759340	1769.8	
T	-4.810483810	29.930443610	1032.9	
T	-5.885572341	35.149669124	843.0	
T	-8.140496540	36.419627770	284.5	
T	-1.906370280	34.051138900	1479.1	
T	-3.443675660	33.952757460	1178.7	
T	-5.504721910	38.936616980	67.8	
T	-3.228929180	37.012616750	1283.8	
T	-8.318555670	36.679209540	282.9	
T	-5.016571800	35.012127660	1262.4	
T	-5.724555000	35.510073720	995.0	
T	-10.747146070	39.882002980	206.0	
T	-4.349603670	34.799451730	1504.6	
T	-6.905365900	39.199155730	43.4	
T	-8.801842450	35.791671560	316.2	
T	-3.000655820	33.225434640	1175.7	
T	-9.256844890	35.175191560	1613.4	
T	-9.432596160	35.037340570	1691.2	
T	-4.646503660	29.742168450	1610.2	
T	-9.358285410	34.630669450	2132.8	
T	-4.915816630	34.815905140	1629.0	
T	-2.494429300	30.604929540	1405.9	
T	-2.033337500	32.967769830	1269.0	
T	-3.110111900	33.626886570	1340.6	
T	-4.466736740	37.942209890	1526.2	
T	-3.534173720	37.532073570	700.5	
T	-3.413766470	31.560996490	1229.8	
T	-2.416214450	31.717445080	1190.5	
T	-3.822011970	33.286157470	1158.5	
T	-3.279949560	32.418328540	1266.2	
T	-4.869385230	34.649486450	1484.6	
T	-3.163649410	36.947686560	1418.4	
T	-4.243279420	38.004162150	1254.5	
T	-1.351764490	34.605974650	1816.5	
T	-9.935097380	37.911236560	506.7	
T	-4.520523360	30.250214730	1225.2	
T	-1.782549190	33.903536320	1384.9	
T	-1.495006660	31.584296090	1178.8	
T	-11.310137560	36.957642420	762.7	
T	-4.648822490	35.995446130	1179.0	
T	-3.706515540	37.597137520	937.9	
T	-5.885572341	35.149669124	843.0	
T	-3.284632910	33.731347400	1306.5	
T	-6.686821540	38.691698410	30.4	
T	-4.476193450	30.152397080	1311.0	
T	-2.146640320	33.429549400	1143.9	
T	-4.749166910	29.658533030	1004.7	
T	-3.806348640	30.651420470	1349.4	
T	-4.117949720	33.983901150	1067.8	
T	-8.487296860	32.086927870	1756.1	
T	-9.044437070	33.596091310	1954.9	
T	-2.857711580	31.571724880	1237.4	
T	-5.705454290	34.489486350	1304.6	
T	-11.151433560	38.453010650	303.8	
T	-3.865589570	32.632702240	1211.8	
T	-8.740499240	34.368663970	1094.2	
T	-8.141347240	36.661069920	254.4	
T	-3.363174250	36.888019390	1193.0	
T	-8.710777290	34.909087760	1607.5	
T	-9.013721840	34.922567110	1694.1	
T	-10.704455880	39.573830820	351.8	
T	-8.400206830	32.367047780	851.8	
T	-3.680072240	33.846156320	1120.3	
T	-10.307720830	39.828210310	86.4	
T	-3.387321730	31.531568310	1232.5	
T	-10.624483280	35.486737490	1021.8	
T	-4.626677270	30.217658490	1165.0	
T	-1.718561220	31.114029970	1426.6	
T	-8.912631130	34.731380600	1564.0	
T	-3.671135760	31.999655580	1144.7	
T	-3.275922060	36.609220960	1623.2	
T	-7.469599230	31.394719300	886.2	
T	-6.135297330	37.614541280	375.4	
T	-3.348194020	37.471809060	1156.9	
T	-6.790431850	38.990833080	141.1	
T	-7.365563880	31.113825470	1598.4	
T	-8.936634420	36.831720640	352.9	
T	-3.402290970	34.114867060	1191.7	
T	-1.374886130	31.154236730	1235.8	
T	-4.664380670	34.870738690	1618.5	
T	-7.671668620	35.418586000	961.6	
T	-8.951088000	34.890126520	1690.2	
T	-3.370916190	36.780525340	1335.4	
T	-9.612440320	33.858693760	500.3	
T	-6.132016090	37.627029820	377.2	
T	-6.931975920	37.398979950	511.3	
T	-2.533101650	32.240888460	1168.5	
T	-7.979169140	35.387490540	1746.9	
T	-8.321277720	36.131984980	284.7	
T	-6.983008120	39.094535480	111.3	
T	-2.458900140	31.759034510	1204.8	
T	-3.347421320	36.684142070	1492.5	
T	-10.556784850	35.863175990	995.1	
T	-10.160584640	39.959816360	17.5	
T	-5.885572341	35.149669124	843.0	
T	-4.421909570	29.814230270	1553.0	
T	-8.613157990	34.414424150	1064.7	
T	-10.268210430	38.764701390	498.3	
T	-1.830502140	31.668277220	1279.7	
T	-4.701009280	33.512423780	1232.3	
T	-8.707868440	35.019287590	1725.2	
T	-8.754597470	33.644271560	1157.0	
T	-5.911519120	35.429967150	991.0	
T	-6.285155850	35.510172320	1016.2	
T	-3.443429940	36.787729340	1106.9	
T	-4.879492390	35.878206670	1499.5	
T	-3.795301920	33.314178500	1189.0	
T	-10.490203820	38.819041060	372.9	
T	-4.062964720	37.686313540	884.6	
T	-9.762460330	34.526367820	1717.3	
T	-2.741551180	33.275060630	1207.3	
T	-10.690176170	38.946867120	443.9	
T	-1.797381770	34.400457330	1435.2	
T	-11.069539610	34.898790970	1579.8	
T	-8.964543620	32.854983140	1531.3	
T	-5.885572341	35.149669124	843.0	
T	-3.387625590	37.497920160	848.5	
T	-7.559391130	37.047524760	328.4	
T	-8.937537110	36.189738900	304.2	
T	-6.004260750	34.985039250	837.0	
T	-7.882893990	38.747182040	44.0	
T	-3.820388900	37.478111770	699.8	
T	-5.885572341	35.149669124	843.0	
T	-9.520741750	33.854905360	496.3	
T	-3.205711390	37.126826030	1408.1	
T	-5.885572341	35.149669124	843.0	
T	-3.524254460	30.784914680	1365.8	
T	-7.913636070	35.583128770	1615.3	
T	-6.958266680	39.096309110	111.8	
T	-10.296045440	39.362711920	154.1	
T	-3.830644350	30.590750070	1331.2	
T	-7.363378130	37.677425590	301.0	
T	-3.308371840	32.077296890	1269.6	
T	-8.216530330	34.844472060	1077.7	
T	-9.250074060	34.541085440	2049.6	
T	-1.207717620	31.391983640	1160.6	
T	-6.024370550	35.618590680	1142.3	
T	-8.632957450	33.151313970	865.9	
T	-9.096363690	33.201337930	1796.5	
T	-2.460307990	32.669072470	1179.5	
T	-4.528712650	34.657143550	1386.2	
T	-9.468384330	33.140746080	1338.7	
T	-4.958662140	29.884724270	1031.8	
T	-10.756843000	39.631876500	291.0	
T	-1.094240010	31.832467500	1219.7	
T	-9.301001090	34.503720470	2172.5	
T	-9.091583040	33.281322200	1802.3	
T	-4.806520100	29.733488610	970.9	
T	-6.479063220	38.999880510	6.8	
T	-3.201602180	37.102089850	1254.8	
T	-3.209200610	37.269243180	1479.8	
T	-3.495962250	37.446918370	711.2	
T	-9.243965080	33.828599000	1458.3	
T	-5.885572341	35.149669124	843.0	
T	-4.855316180	32.766950150	1198.9	
T	-2.474533150	30.759910810	1450.6	
T	-5.430853590	37.562722300	929.8	
T	-8.553379840	39.045047280	236.2	
T	-10.911044840	39.116424280	333.8	
T	-4.842233170	34.970849360	1310.7	
T	-8.254487810	35.155095550	1714.8	
T	-5.415540760	38.931863870	28.3	
T	-3.765289440	30.489149390	1292.4	
T	-10.622185650	38.694912000	381.5	
T	-1.335742350	30.713063040	1383.7	
T	-3.952194250	30.609515960	1277.0	
T	-6.264919670	35.718442980	1239.1	
T	-2.088749830	33.035876420	1193.9	
T	-2.470393700	32.193023660	1157.3	
T	-10.912562880	38.396675830	373.6	
T	-8.931525410	35.818679910	304.6	
T	-9.665754760	39.141999240	99.3	
T	-8.144721210	36.693336640	255.7	
T	-2.410242890	32.459925320	1147.2	
T	-11.134595660	38.561840850	301.3	
T	-3.037245180	31.222263460	1247.0	
T	-3.238152820	37.599145860	1552.9	
T	-7.018173530	39.278876050	77.0	
T	-6.638992360	39.162533950	22.6	
T	-4.567703670	34.728883290	1508.1	
T	-6.682213410	38.691551550	29.3	
T	-1.821636390	34.299926570	1335.6	
T	-4.014877480	35.457601020	2145.6	
T	-5.003615450	39.124879210	10.7	
T	-3.821166520	35.529120840	1742.2	
T	-4.005177040	35.346198850	1976.3	
T	-3.331790110	36.709954730	1816.1	
T	-9.174251050	34.478182030	1988.0	
T	-5.885572341	35.149669124	843.0	
T	-3.294047500	37.416871640	1457.4	
T	-2.080472120	32.962733530	1215.0	
T	-9.169218590	33.538296950	1357.0	
T	-11.384496790	37.361851490	439.1	
T	-3.243875220	37.120095380	1109.5	
T	-3.180731520	37.083115220	1283.7	
T	-5.762365580	32.733317890	1132.0	
T	-8.696643420	34.938395470	1653.2	
T	-5.111838030	34.686269710	1495.3	
T	-2.150255090	33.456640790	1149.4	
T	-4.197312490	37.886765720	1732.6	
T	-4.885519390	34.893955300	1684.2	
T	-8.811685670	34.133583240	1062.7	
T	-4.677993940	34.963187060	1611.5	
T	-1.413343010	34.754704920	1856.3	
T	-2.944913040	33.520628970	1240.0	
T	-9.374166090	34.243188500	2025.3	
T	-3.523479030	32.414946060	1213.4	
T	-6.902268080	39.186214290	51.5	
T	-6.110046380	34.847177680	1210.8	
T	-4.620564170	30.392766410	1160.7	
T	-9.302003230	33.838495410	1070.7	
T	-8.926292530	33.664337430	1932.7	
T	-7.309425420	39.206495870	91.4	
T	-8.856813410	34.027456730	1135.5	
T	-4.536166900	34.904841820	1603.4	
T	-8.104484390	35.905456190	1915.9	
T	-8.483392950	32.083790670	1764.4	
T	-8.758814220	34.377215810	1097.0	
T	-1.482256590	30.910062480	1554.5	
T	-5.114309600	34.747737220	1500.5	
T	-6.776989080	38.143209660	180.9	
T	-8.824582050	33.851028880	1198.8	
T	-6.748721570	37.123093120	436.4	
T	-3.849602200	33.272195160	1139.3	
T	-6.137691790	36.868279060	1259.2	
T	-9.136307150	33.808043860	1590.8	
T	-8.894140960	34.768128090	1582.0	
T	-4.883072890	29.737736380	802.6	
T	-1.800142580	34.669680630	1544.0	
T	-1.466256390	34.520370090	1329.0	
T	-6.985055650	39.525395590	24.7	
T	-6.933129430	38.234788580	131.0	
T	-3.626015110	33.496084390	1164.0	
T	-3.384342050	36.707970020	1378.7	
T	-6.685448090	37.132167290	433.4	
T	-1.737487410	31.138808350	1553.1	
T	-5.885572341	35.149669124	843.0	
T	-6.201973060	36.127414390	943.5	
T	-10.037807100	39.437784260	188.5	
T	-5.580483870	37.199353290	1324.9	
T	-3.344329330	36.651249060	1469.4	
T	-3.162260810	33.586632460	1255.4	
T	-3.039511010	33.032924330	1211.8	
T	-8.125936270	36.687175050	260.9	
T	-3.318311080	35.686892520	1492.6	
T	-6.140546120	35.430817570	908.9	
T	-10.551764410	35.861900720	1004.5	
T	-5.391733670	37.519241780	959.1	
T	-10.767531760	39.307691490	579.2	
T	-3.179894780	34.053500230	1332.8	
T	-9.602226560	33.874179760	494.6	
T	-2.916093950	31.592945640	1230.9	
T	-4.793138400	38.358518670	1245.3	
T	-9.828469500	35.283740930	1375.8	
T	-3.640675420	34.409015370	1161.0	
T	-11.209410090	36.278423830	741.2	
T	-4.449782290	30.034881460	1633.3	
T	-1.291754290	30.809825500	1476.9	
T	-10.820905590	38.969548450	338.4	
T	-3.782071540	37.711526910	795.9	
T	-3.793689520	34.119059830	1085.8	
T	-3.186275000	36.993639270	1413.3	
T	-8.930012730	33.589739500	2013.0	
T	-3.528892420	35.309414520	1053.4	
T	-2.351739080	32.325981970	1136.2	
T	-3.419175430	37.229139010	842.8	
T	-4.327020890	30.139533340	1387.8	
T	-9.760571880	35.298220040	1456.1	
T	-2.840572700	33.277747020	1198.6	
T	-4.587191520	34.990263110	1687.8	
T	-5.936261050	37.279061540	1069.9	
T	-1.780499560	34.423043590	1365.8	
T	-8.296427800	31.524137270	1709.3	
T	-11.460531130	37.333530370	433.6	
T	-9.832573660	35.266800890	1333.1	
T	-3.105195720	31.142665810	1217.1	
T	-3.416297130	30.744404170	1354.4	
T	-4.573859160	30.286774400	1239.9	
T	-1.783806530	31.162872490	1476.9	
T	-2.682115850	32.991581320	1230.9	
T	-9.322293110	33.832438700	1006.9	
T	-3.321762930	36.742797860	1734.0	
T	-3.626403450	33.499766000	1169.6	
T	-6.138762220	37.615165080	376.1	
T	-2.721330600	32.960907430	1180.3	
T	-1.459339370	30.838854120	1287.3	
T	-3.576071000	36.689633450	1047.3	
T	-11.123955770	35.171644370	974.1	
T	-2.466678760	30.797995160	1402.7	
T	-9.165752790	33.543921380	1381.2	
T	-8.987460800	33.994019520	2134.5	
T	-3.461351530	31.899361530	1242.6	
T	-6.335619870	36.462102290	1041.7	
T	-7.616330040	39.010177770	121.6	
T	-4.823551180	29.787212810	870.9	
T	-4.315339810	30.018749160	1288.3	
T	-6.359420830	35.210258070	881.7	
T	-3.518097510	32.225567230	1173.8	
T	-10.251064790	39.999362390	14.3	
T	-5.592858220	30.518714000	1299.9	
T	-3.252350810	36.645251140	1851.2	
T	-5.003513690	38.982754510	111.0	
T	-3.421416300	36.904810610	1058.7	
T	-2.703151070	32.909310380	1154.9	
T	-1.369952020	34.464393220	1688.2	
T	-1.532934550	31.557673790	1188.9	
T	-1.879858090	34.636060030	1592.4	
T	-7.461134640	30.717505490	815.4	
T	-8.937612950	34.883291230	1653.7	
T	-7.372801910	38.777778140	226.9	
T	-3.174712670	37.110719760	1454.0	
T	-9.987442980	38.947969040	317.3	
